Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
melbourne_botanical_gardens,2014,12,10,0.0
melbourne_botanical_gardens,2014,12,11,0.0
melbourne_botanical_gardens,2014,12,12,0.0
melbourne_botanical_gardens,2014,12,13,0.0
melbourne_botanical_gardens,2014,12,14,0.0
melbourne_botanical_gardens,2014,12,15,0.0
melbourne_botanical_gardens,2014,12,16,0.0
melbourne_botanical_gardens,2014,12,17,0.0
melbourne_botanical_gardens,2014,12,18,0.0
melbourne_botanical_gardens,2014,12,19,1.8
melbourne_botanical_gardens,2014,12,20,0.0
melbourne_botanical_gardens,2014,12,21,0.0
melbourne_botanical_gardens,2014,12,22,0.0
melbourne_botanical_gardens,2014,12,23,1.4
melbourne_botanical_gardens,2014,12,24,1.0
melbourne_botanical_gardens,2014,12,25,0.0
melbourne_botanical_gardens,2014,12,26,3.0
melbourne_botanical_gardens,2014,12,27,0.0
melbourne_botanical_gardens,2014,12,28,0.0
melbourne_botanical_gardens,2014,12,29,0.0
melbourne_botanical_gardens,2014,12,30,0.0
melbourne_botanical_gardens,2014,12,31,0.0
melbourne_botanical_gardens,2015,1,1,0.0
melbourne_botanical_gardens,2015,1,2,0.0
melbourne_botanical_gardens,2015,1,3,0.0
melbourne_botanical_gardens,2015,1,4,4.6
melbourne_botanical_gardens,2015,1,5,0.0
melbourne_botanical_gardens,2015,1,6,0.0
melbourne_botanical_gardens,2015,1,7,0.0
melbourne_botanical_gardens,2015,1,8,21.6
melbourne_botanical_gardens,2015,1,9,1.8
melbourne_botanical_gardens,2015,1,10,7.4
melbourne_botanical_gardens,2015,1,11,0.0
melbourne_botanical_gardens,2015,1,12,0.0
melbourne_botanical_gardens,2015,1,13,0.0
melbourne_botanical_gardens,2015,1,14,17.8
melbourne_botanical_gardens,2015,1,15,0.0
melbourne_botanical_gardens,2015,1,16,0.0
melbourne_botanical_gardens,2015,1,17,0.0
melbourne_botanical_gardens,2015,1,18,0.0
melbourne_botanical_gardens,2015,1,19,0.0
melbourne_botanical_gardens,2015,1,20,0.0
melbourne_botanical_gardens,2015,1,21,0.0
melbourne_botanical_gardens,2015,1,22,0.0
melbourne_botanical_gardens,2015,1,23,0.0
melbourne_botanical_gardens,2015,1,24,0.0
melbourne_botanical_gardens,2015,1,25,0.0
melbourne_botanical_gardens,2015,1,26,3.0
melbourne_botanical_gardens,2015,1,27,0.6
melbourne_botanical_gardens,2015,1,28,0.0
melbourne_botanical_gardens,2015,1,29,0.0
melbourne_botanical_gardens,2015,1,30,0.0
melbourne_botanical_gardens,2015,1,31,0.0
melbourne_botanical_gardens,2015,2,1,11.8
melbourne_botanical_gardens,2015,2,2,2.6
melbourne_botanical_gardens,2015,2,3,0.0
melbourne_botanical_gardens,2015,2,4,0.0
melbourne_botanical_gardens,2015,2,5,0.0
melbourne_botanical_gardens,2015,2,6,0.0
melbourne_botanical_gardens,2015,2,7,0.0
melbourne_botanical_gardens,2015,2,8,0.0
melbourne_botanical_gardens,2015,2,9,0.0
melbourne_botanical_gardens,2015,2,10,0.0
melbourne_botanical_gardens,2015,2,11,0.0
melbourne_botanical_gardens,2015,2,12,0.0
melbourne_botanical_gardens,2015,2,13,0.0
melbourne_botanical_gardens,2015,2,14,20.8
melbourne_botanical_gardens,2015,2,15,0.4
melbourne_botanical_gardens,2015,2,16,0.0
melbourne_botanical_gardens,2015,2,17,0.0
melbourne_botanical_gardens,2015,2,18,0.0
melbourne_botanical_gardens,2015,2,19,0.0
melbourne_botanical_gardens,2015,2,20,0.0
melbourne_botanical_gardens,2015,2,21,0.0
melbourne_botanical_gardens,2015,2,22,2.2
melbourne_botanical_gardens,2015,2,23,0.0
melbourne_botanical_gardens,2015,2,24,3.6
melbourne_botanical_gardens,2015,2,25,0.0
melbourne_botanical_gardens,2015,2,26,0.0
melbourne_botanical_gardens,2015,2,27,0.0
melbourne_botanical_gardens,2015,2,28,0.0
melbourne_botanical_gardens,2015,3,1,16.4
melbourne_botanical_gardens,2015,3,2,0.4
melbourne_botanical_gardens,2015,3,3,0.0
melbourne_botanical_gardens,2015,3,4,0.0
melbourne_botanical_gardens,2015,3,5,0.0
melbourne_botanical_gardens,2015,3,6,0.0
melbourne_botanical_gardens,2015,3,7,0.8
melbourne_botanical_gardens,2015,3,8,0.2
melbourne_botanical_gardens,2015,3,9,0.0
melbourne_botanical_gardens,2015,3,10,0.0
melbourne_botanical_gardens,2015,3,11,0.0
melbourne_botanical_gardens,2015,3,12,0.0
melbourne_botanical_gardens,2015,3,13,0.0
melbourne_botanical_gardens,2015,3,14,0.0
melbourne_botanical_gardens,2015,3,15,0.0
melbourne_botanical_gardens,2015,3,16,0.0
melbourne_botanical_gardens,2015,3,17,0.0
melbourne_botanical_gardens,2015,3,18,0.0
melbourne_botanical_gardens,2015,3,19,2.9
melbourne_botanical_gardens,2015,3,20,0.0
melbourne_botanical_gardens,2015,3,21,2.4
melbourne_botanical_gardens,2015,3,22,0.0
melbourne_botanical_gardens,2015,3,23,0.0
melbourne_botanical_gardens,2015,3,24,2.8
melbourne_botanical_gardens,2015,3,25,0.0
melbourne_botanical_gardens,2015,3,26,1.4
melbourne_botanical_gardens,2015,3,27,0.0
melbourne_botanical_gardens,2015,3,28,0.0
melbourne_botanical_gardens,2015,3,29,0.0
melbourne_botanical_gardens,2015,3,30,0.0
melbourne_botanical_gardens,2015,3,31,0.0
melbourne_botanical_gardens,2015,4,1,0.0
melbourne_botanical_gardens,2015,4,2,0.4
melbourne_botanical_gardens,2015,4,3,0.0
melbourne_botanical_gardens,2015,4,4,0.0
melbourne_botanical_gardens,2015,4,5,0.0
melbourne_botanical_gardens,2015,4,6,0.0
